table_schema | table_name
---------------------------------------------
_realtime | extensions
_realtime | schema_migrations
_realtime | tenants
auth | audit_log_entries
auth | flow_state
auth | identities
auth | instances
auth | mfa_amr_claims
auth | mfa_challenges
auth | mfa_factors
auth | oauth_authorizations
auth | oauth_clients
auth | oauth_consents
auth | one_time_tokens
auth | refresh_tokens
auth | saml_providers
auth | saml_relay_states
auth | schema_migrations
auth | sessions
auth | sso_domains
auth | sso_providers
auth | users
csagent | api_cs_inventory
csagent | api_cs_inventory_audit
csagent | audit_log
csagent | bom
csagent | branches
csagent | chat_messages
csagent | checklist_translation_cache
csagent | confluence_sync_log
csagent | cs_attachments
csagent | cs_history
csagent | cs_history_expense
csagent | cs_history_labor
csagent | cs_history_material
csagent | cs_schedule
csagent | equipment_models
csagent | equipment_setup
csagent | equipment_units
csagent | error_codes
csagent | feedback
csagent | gallery_albums
csagent | gallery_comments
csagent | gallery_likes
csagent | gallery_posts
csagent | inventory_transaction
csagent | item_price_history
csagent | label_print_history
csagent | label_printer
csagent | label_template
csagent | notifications
csagent | parts
csagent | parts_category
csagent | parts_master
csagent | parts_request
csagent | parts_request_item
csagent | parts_sale
csagent | parts_sale_item
csagent | qa_cache
csagent | qa_feedback
csagent | quote_items
csagent | quotes
csagent | repair_history
csagent | setup_issue_comments
csagent | setup_issues
csagent | setup_status_history
csagent | synced_cs_history
csagent | synced_equipment
csagent | users
csagent | vector_embeddings
hardware | axis
hardware | camera
hardware | controller
hardware | equipment
hardware | hardware_change_history
hardware | ioaddress
hardware | iomodule
hardware | lanhub
hardware | lighting
hardware | networkdevice
hardware | pc
hardware | reducer
hardware | serialport
hardware | servodrive
hardware | servomotor
hardware | transformer
hardware | usbdevice
hardware | usbhub
hardware | wmx_license
knowledge | documents
manual | core_tech_documents
manual | documents
manual | qc_documents
manual | tech_documents
manual | wta_documents
net | _http_response
net | http_request_queue
realtime | messages
realtime | messages_2026_03_30
realtime | messages_2026_03_31

... �� 21�� (�� 121��)
